task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	env	workdir	scratch
165	1a/60dbb9	3071030	eda_filtering_processor	EV_003_xdf5_extr1.parquet	eda_filtering_processor (EV_003_xdf5_extr1.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:39:45.572	2026-02-04 11:39:46.168	2026-02-04 11:40:04.325	18.8s	14s	-	90.9%	1.3%	421.7 MB	4.9 GB	421.7 MB	4.9 GB	23 MB	35.2 MB	2482	219	1.6 MB	35.2 MB	330	42	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/1a/60dbb98310453f8cea2d20655aa4ac	-
166	b5/733494	3071211	ecg_filtering_processor	EV_003_xdf5_extr2.parquet	ecg_filtering_processor (EV_003_xdf5_extr2.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:39:46.872	2026-02-04 11:39:47.172	2026-02-04 11:40:07.034	20.2s	11.8s	-	147.1%	1.3%	426.7 MB	4.9 GB	426.7 MB	4.9 GB	23 MB	35.7 MB	2484	219	0	35.7 MB	308	25	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/b5/733494fcc463900af45a0edd67c63f	-
145	52/13c57b	3056378	extracting_processor	EV_004_xdf4.fif	extracting_processor (EV_004_xdf4.fif)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:38:17.316	2026-02-04 11:38:17.532	2026-02-04 11:40:11.471	1m 54s	1m 31s	-	60.5%	15.9%	4.9 GB	8.6 GB	7.1 GB	8.6 GB	2.2 GB	1.6 GB	5490	8030	0	1.6 GB	23917	186	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/52/13c57b34a988e33d18cab7f9aac388	-
143	df/eeea0e	3056312	extracting_processor	EV_008_xdf4.fif	extracting_processor (EV_008_xdf4.fif)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:38:16.808	2026-02-04 11:38:16.963	2026-02-04 11:40:12.418	1m 56s	1m 38s	-	74.2%	19.5%	6 GB	8.9 GB	7.3 GB	8.9 GB	2.4 GB	1.6 GB	5631	8164	0	1.6 GB	21330	156	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/df/eeea0e9e7925b711f2a95805207c26	-
151	69/984e74	3058916	extracting_processor	EV_007_xdf4.fif	extracting_processor (EV_007_xdf4.fif)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:38:28.753	2026-02-04 11:38:29.953	2026-02-04 11:40:12.503	1m 44s	1m 12s	-	64.3%	11.7%	3.6 GB	6.2 GB	7 GB	8.5 GB	2.3 GB	1.5 GB	5523	7707	0	1.5 GB	22446	127	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/69/984e745d00d3b86361c8793bd21a49	-
149	d2/fd7a2c	3057644	extracting_processor	EV_002_xdf4.fif	extracting_processor (EV_002_xdf4.fif)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:38:23.593	2026-02-04 11:38:24.233	2026-02-04 11:40:12.607	1m 49s	1m 30s	-	68.1%	12.4%	3.8 GB	6.2 GB	7 GB	8.5 GB	2.2 GB	1.5 GB	5510	7698	0	1.5 GB	16271	236	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/d2/fd7a2c1aa3add584dd1ddd6ac5d595	-
161	95/70878c	3070073	eeg_file_finder	EV_003_xdf5_extr.parquet	eeg_file_finder (EV_003_xdf5_extr.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:39:42.155	2026-02-04 11:39:42.233	2026-02-04 11:40:12.815	30.7s	30.4s	-	38.9%	0.2%	62.4 MB	3 GB	62.4 MB	3.1 GB	968.8 MB	962.2 MB	910	32	0	962.2 MB	1026	67	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/95/70878cf6d50a215d14d965b4965a2a	-
169	f7/195ce2	3075922	trigger_file_finder	EV_004_xdf4_extr.parquet	trigger_file_finder (EV_004_xdf4_extr.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:40:12.528	2026-02-04 11:40:12.607	2026-02-04 11:40:13.801	1.3s	564ms	-	31.3%	0.0%	3.6 MB	7.2 MB	3.6 MB	7.2 MB	12.2 MB	5.6 MB	911	35	0	5.6 MB	9	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/f7/195ce28c68ae3de26efa8d1799021c	-
171	7c/9d4768	3075981	ecg_file_finder	EV_004_xdf4_extr.parquet	ecg_file_finder (EV_004_xdf4_extr.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:40:12.641	2026-02-04 11:40:12.807	2026-02-04 11:40:14.175	1.5s	1.1s	-	19.3%	0.0%	3.5 MB	7.2 MB	3.5 MB	7.2 MB	16.8 MB	10.3 MB	910	34	0	10.3 MB	14	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/7c/9d4768ed70083b6d5507b03143d1fc	-
170	4a/9e120f	3076159	eda_file_finder	EV_004_xdf4_extr.parquet	eda_file_finder (EV_004_xdf4_extr.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:40:12.912	2026-02-04 11:40:13.016	2026-02-04 11:40:14.837	1.9s	677ms	-	33.5%	0.0%	3.5 MB	7.2 MB	3.5 MB	7.2 MB	14.9 MB	8.3 MB	911	32	0	8.3 MB	11	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/4a/9e120f0dfe2692795287b8594ad588	-
